name,type,city,country,website,email,phone,instagram,reason,status,scraped_email
PageFive,book shop,Prague,Czech Republic,https://www.pagefive.com,info@pagefive.com,+420 775 313 003,@page_five,A specialized bookstore focused on visual culture and design; Omakase’s strong design qualities would appeal to their design-conscious clientele.,contacted,info@pagefive.com
Rishada,board game store,Brno,Czech Republic,https://www.rishada.cz,info@rishada.cz,+420 775 411 114,@rishada.cz,A specialized board game shop with a dedicated community and a strong focus on card games and hobbyist titles.,contacted,obchod@rishada.cz
Planeta Her,board game store,Brno,Czech Republic,https://www.planetaher.cz,info@planetaher.cz,+420 777 943 004,@planetaher,"One of the most established board game retailers in Brno, offering a wide variety of international and local card games.",contacted,
Place Store,Concept design,Brno,Czech Republic,https://placestore.cz,brno@placestore.cz,+420 739 029 444,@placestorecz,A concept store showcasing independent designers and unique gifts; the high design quality of Omakase aligns perfectly with their curated selection.,contacted,eshop@placestore.cz
FYFT,board game store,Brno,Czech Republic,https://fyft.cz,info@fyft.cz,+420 774 423 353,@fyftcz,"Focuses on niche hobbies, skill toys, and card games, attracting a younger demographic interested in trendy and aesthetic products.",contacted,150objednavky@fyft.cz
Hračkotéka,toy store,Brno,Czech Republic,https://www.hrackoteka.cz,brno@hrackoteka.cz,+420 731 656 161,@hrackoteka,"A boutique toy store specializing in high-quality, eco-friendly, and well-designed games that stand out from mass-market products.",contacted,info@hrackoteka.cz
Dlouhá punčocha,book shop,Brno,Czech Republic,https://www.dlouhapuncocha.cz,info@dlouhapuncocha.cz,+420 775 343 011,@dlouha.puncocha,"An independent bookstore with a focus on beautiful illustrations and design, often stocking aesthetic card games and creative gifts.",contacted,knihkupectvi@dlouhapuncocha.cz
FYFT Ostrava,board game store,Ostrava,Czech Republic,https://www.fyft.cz,info@fyft.cz,+420 776 001 033,@fyftcz,"FYFT focuses on niche hobbies and modern board games, making it a perfect match for a stylish card game like Omakase.",contacted,150objednavky@fyft.cz
Minotaur Ostrava,board game store,Ostrava,Czech Republic,https://www.minotaur.cz,ostrava@minotaur.cz,+420 596 110 244,,A specialized comic and board game shop with a long-standing reputation among local tabletop enthusiasts.,contacted,objednavky@minotaur.cz
Ty Identity,Concept design,Ostrava,Czech Republic,https://www.tyidentity.cz,info@tyidentity.cz,+420 775 198 161,@tyidentity,A design-led concept store featuring curated local products; its focus on aesthetics aligns well with Omakase's strong design qualities.,contacted,%20my@tyidentity.cz
Albi Prodejna (Forum Nová Karolina),board game store,Ostrava,Czech Republic,https://www.albi.cz,,+420 730 856 601,@albi_cz,"Albi is the primary board game retailer in the Czech Republic, and their Ostrava flagship has high foot traffic for gift-seekers.",no email,eshop@albi.cz
Xzone Ostrava,board game store,Ostrava,Czech Republic,https://www.xzone.cz,ostrava@xzone.cz,+420 734 152 471,@xzonecz,"While primarily a video game retailer, Xzone has a significant section for board games and pop-culture merchandise.",,xzone@xzone.cz
Knihy Dobrovský,book shop,Ostrava,Czech Republic,https://www.knihydobrovsky.cz,,+420 226 289 262,@knihydobrovsky,This large bookstore chain has a dedicated 'Klub deskových her' section and frequently stocks high-quality card games.,no email,poradime@knihydobrovsky.cz
Dračí pevnost,board game store,Plzeň,Czech Republic,https://www.dracipevnost.cz/,info@dracipevnost.cz,+420 777 808 141,@dracipevnost,The premier specialty board game and hobby shop in Plzeň with a dedicated community of card game players.,,
Vrtule - Klub deskových her,board game store,Plzeň,Czech Republic,https://www.vrtuleplzen.cz/,info@vrtuleplzen.cz,+420 737 421 154,@vrtule_plzen,A board game cafe and retail space that focuses on curated gaming experiences and social card games.,,
TY identity,Concept design,Plzeň,Czech Republic,https://www.tyidentity.cz/,info@tyidentity.cz,+420 774 119 651,@tyidentity,"A design-focused concept store that features high-quality local products, making it a perfect fit for Omakase's strong visual aesthetic.",,%20my@tyidentity.cz
Knihkupectví a antikvariát u Ševčíka,book shop,Plzeň,Czech Republic,https://www.knihysevcik.cz/,info@knihysevcik.cz,+420 377 225 385,,An established independent bookstore in the city center that stocks unique gifts and high-quality printed goods.,,webmaster@knihysevcik.cz
Hračky u Krtečka,toy store,Plzeň,Czech Republic,https://www.hracky-u-krtecka.cz/,info@hracky-u-krtecka.cz,+420 377 221 664,,A local independent toy store that prioritizes quality educational and family games over mass-market plastic toys.,,
Ant Comics,board game store,Nicosia,Cyprus,https://antcomics.com,info@antcomics.com,+357 22 335252,@antcomics,"As a premier destination for comics and board games in Nicosia, this shop attracts the core hobbyist demographic interested in card games.",,
Isengard Fantasy Shop,board game store,Nicosia,Cyprus,https://isengard.com.cy,info@isengard.com.cy,+357 22 331115,@isengard_fantasy_shop,"A dedicated hobby shop specializing in tabletop games and community events, making it a perfect fit for a niche card game like Omakase.",,
Soloneion Book Centre,book shop,Nicosia,Cyprus,https://www.soloneion.com.cy,soloneion@cytanet.com.cy,+357 22 666799,@soloneionbookcentre,"An upscale independent bookstore that carries high-quality gifts and design-focused items, aligning with Omakase's aesthetic qualities.",,
Mavromatis,toy store,Nicosia,Cyprus,https://mavromatis.com.cy,info@mavromatis.com.cy,+357 22 762414,@mavromatis_cy,A prominent local chain with a strong presence in Nicosia that stocks a wide variety of family-friendly board games and toys.,,
Public Cyprus,book shop,Nicosia,Cyprus,https://www.public-cyprus.com.cy,,+357 22 782542,@public_cyprus,"The leading lifestyle and media retailer in Cyprus with a massive board game section, essential for reaching the general gift-buying public.",,
Faraos Cigarer (Games),board game store,Copenhagen,Denmark,https://www.faraos.dk,faraos@faraos.dk,+45 33 67 20 00,@faraoscigarer,The largest specialty hobby chain in Denmark with a massive dedicated board game department in central Copenhagen.,,faraos@faraos.dk
Games,board game store,Copenhagen,Denmark,https://www.games-web.dk,info@games-web.dk,+45 33 32 07 22,@games_kbh,A long-standing specialty shop in Jorcks Passage focusing exclusively on board games and puzzles.,,
Bastard Café Shop,board game store,Copenhagen,Denmark,https://bastardcafe.dk,kontakt@bastardcafe.dk,,@bastardcafe,The epicenter of Copenhagen's board game community; they curate a retail selection of popular and indie titles.,,
Fantask,board game store,Copenhagen,Denmark,https://www.fantask.dk,fantask@fantask.dk,+45 33 11 85 31,@fantask_dk,A legendary specialty store for comics and games that caters to a dedicated hobbyist audience.,,fantask@fantask.dk
Superhelten Legetøj,toy store,Copenhagen,Denmark,https://www.superhelten.dk,kundeservice@superhelten.dk,+45 39 30 30 11,@superhelten,"An independent toy store with a high-quality selection of board games and collectibles, moving away from mass-market toys.",,
Designer Zoo,gift shop,Copenhagen,Denmark,https://dzoo.dk,mail@dzoo.dk,+45 33 24 94 47,@designer_zoo,A concept store for Danish design that would appreciate the strong aesthetic and graphic qualities of Omakase.,,mail@dzoo.dk
Cinnober,book shop,Copenhagen,Denmark,https://cinnober.com,info@cinnober.com,+45 33 13 02 55,@cinnober_bookshop,"An independent book and paper shop specializing in design and architecture, perfect for a visually-driven card game.",,
DAC Design Shop (Dansk Arkitektur Center),Concept design,Copenhagen,Denmark,https://dac.dk,shop@dac.dk,+45 32 57 19 30,@danskarkitekturcenter,A high-end design shop that stocks curated gifts and games with exceptional graphic design.,,info@dac.dk
Faraos Cigarer Aarhus,board game store,Aarhus,Denmark,https://www.faraos.dk/,aarhus@faraos.dk,+45 86 12 12 16,@faraoscigarer,The largest hobby and games retailer in Denmark with a dedicated Aarhus branch that stocks a vast range of card games.,,faraos@faraos.dk
Games Aarhus,board game store,Aarhus,Denmark,https://games-aarhus.dk/,info@games-aarhus.dk,+45 86 13 13 13,,A specialized board game shop in the city center that focuses on curated tabletop experiences and card games.,,
Aarhus Brætspilscafé,board game store,Aarhus,Denmark,https://www.aarhusbraetspilscafe.dk/,kontakt@aarhusbraetspilscafe.dk,+45 61 41 61 41,@aarhusbraetspilscafe,A popular board game cafe with two locations that also retails a selection of the games they feature in their library.,,
Butik Gejst,gift shop,Aarhus,Denmark,https://butikgejst.dk/,info@butikgejst.dk,+45 28 96 30 03,@butikgejst,"A design-focused gift shop that prioritizes aesthetic products, making it a perfect fit for Omakase's strong design qualities.",,
Epic Panda,board game store,Aarhus,Denmark,https://epicpanda.dk/,info@epicpanda.dk,+45 22 23 24 25,@epicpandadk,A hobby shop specializing in trading card games and board games with a community-focused retail space.,,support@epicpanda.dk
Salling Aarhus,gift shop,Aarhus,Denmark,https://salling.dk/,,+45 87 78 60 00,@sallingdk,A high-end department store with a large toy and gift section that frequently stocks premium and well-designed card games.,,salling@salling.dkcvr
Magasin du Nord Aarhus,gift shop,Aarhus,Denmark,https://www.magasin.dk/,,+45 33 11 44 33,@magasindunord,A premium lifestyle department store where the design-led packaging of Omakase would appeal to their gift-buying demographic.,,
Bog & Idé (Søndergade),book shop,Aarhus,Denmark,https://www.bog-ide.dk/,,+45 86 12 01 22,@bogide,The largest bookstore chain in Denmark; this central Aarhus branch has a significant board game section for mainstream and indie titles.,,
Papas Papbar,board game store,Odense,Denmark,https://papbar.dk/,info@papbar.dk,+45 61 31 31 11,@papaspapbar,A central hub for the local board game community that functions as both a popular board game cafe and a retail shop for enthusiasts.,,papa@papbar.dkskt
Faraos Cigarer Odense,board game store,Odense,Denmark,https://www.faraos.dk/,fyn@faraos.dk,+45 33 67 20 00,@faraoscigarer,The premier Danish retailer for hobby games and comics; their Odense branch is a key destination for specialized tabletop and card games.,,faraos@faraos.dk
Games,board game store,Odense,Denmark,https://www.games-web.dk/,info@games-web.dk,+45 66 12 22 10,,"A dedicated specialty shop focusing exclusively on board and card games, making it an ideal retail partner for niche titles like Omakase.",,
Sinnerup Odense,Concept design,Odense,Denmark,https://www.sinnerup.dk/,,+45 36 39 85 10,@sinnerup_dk,A high-end lifestyle and design store where Omakase's strong visual identity and sushi theme would appeal to aesthetic-conscious gift shoppers.,,web@sinnerup.dk
Bog & Idé (Vestergade),book shop,Odense,Denmark,https://www.bog-ide.dk/,,+45 66 12 08 16,@bogogidevestergade,The largest bookstore in the city center with a significant department for modern board games and high foot traffic from general gift seekers.,,
Spilforsyningen,board game store,Aalborg,Denmark,https://spilforsyningen.dk,info@spilforsyningen.dk,+45 98 13 22 22,@spilforsyningen,"As Aalborg's premier specialty board game shop, they focus on hobbyist card games and would appreciate the design-led nature of Omakase.",,support@spilforsyningen.dk
Dice 'n Drinks,board game store,Aalborg,Denmark,https://dicendrinks.dk,kontakt@dicendrinks.dk,+45 27 51 11 15,@dicendrinks,A board game cafe that also retails games; their social atmosphere is the perfect environment for a sushi-themed card game.,,
Børnenes Kartel,toy store,Aalborg,Denmark,https://www.borneneskartel.dk,kundeservice@borneneskartel.dk,+45 42 92 92 48,@borneneskartel,"A high-end toy and gift retailer that prioritizes aesthetic and quality design, fitting Omakase's visual profile.",,kundeservice@borneneskartel.dk
Læsehesten,board game store,Aalborg,Denmark,https://laesehesten.dk,info@laesehesten.dk,+45 98 13 71 11,,"A local institution for second-hand and niche new games, attracting collectors and enthusiasts looking for unique card games.",,info@laesehesten.dk
Salling Aalborg,gift shop,Aalborg,Denmark,https://salling.dk,,+45 87 78 60 00,@sallingdk,A premium department store with a curated toy and gift section that frequently stocks high-design board games for the gift market.,,salling@salling.dkcvr
Brain Games,board game store,Tallinn,Estonia,https://www.brain-games.ee,info@brain-games.com,+372 55672045,@braingames_ee,"The leading board game retailer in the Baltics with multiple locations in Tallinn malls, specializing in family and card games.",,darija@brain-games.com%20
Ludo,board game store,Tallinn,Estonia,https://www.ludo.ee,info@ludo.ee,+372 553 4000,@ludopood,A dedicated specialty board game shop with a curated selection of international titles and a strong community focus.,,
Anix,Japan stores,Tallinn,Estonia,https://anix-shop.com,info@anix-shop.com,+372 5557 1981,@anixshop,"Specializes in Japanese pop culture, anime, and merchandise; a sushi-themed card game is a perfect thematic fit for their customer base.",,info@anix-shop.com
Rahva Raamat,book shop,Tallinn,Estonia,https://rahvaraamat.ee,epood@rahvaraamat.ee,+372 618 0020,@rahva.raamat,A major bookstore chain with high-end gift sections and a significant selection of aesthetically pleasing board games.,,epood@rahvaraamat.ee
Apollo,book shop,Tallinn,Estonia,https://www.apollo.ee,info@apollo.ee,+372 633 6020,@apollo.raamatud,One of the largest retail chains in Estonia with dedicated hobby and game sections in every major shopping center.,,info@apollo.ee
Mängudžungel,board game store,Tallinn,Estonia,https://mangudzungel.ee,info@mangudzungel.ee,,@mangudzungel,An independent board game retailer focusing on a wide variety of card games and hobbyist titles.,,
Tali Design,Concept design,Tallinn,Estonia,https://talidisain.eu,info@talidisain.eu,+372 5830 9951,@talidisain,"A high-end design shop in the Telliskivi Creative City that stocks unique, well-designed gifts and lifestyle products.",,info@talidisain.eu
Nona,toy store,Tallinn,Estonia,https://www.nonatallinn.ee,info@nonatallinn.ee,+372 5614 2221,@nonatallinn,A boutique store focusing on quality toys and children's products that values independent brands and good design.,,
Brain Games (Tasku Keskus),board game store,Tartu,Estonia,https://www.brain-games.ee,tartu@brain-games.com,+372 5556 0240,@braingames_ee,"The leading board game specialist in Estonia with a dedicated store in Tartu, focusing on modern tabletop games and community events.",,darija@brain-games.com%20
Anix,Japan stores,Tartu,Estonia,https://anix-shop.com,info@anix-shop.com,+372 5557 1114,@anixshop,"A specialty shop for Japanese pop culture and anime, which aligns perfectly with the sushi theme and aesthetic of Omakase.",,info@anix-shop.com
Ludo (Lõunakeskus),board game store,Tartu,Estonia,https://www.ludo.ee,pood@ludo.ee,+372 5305 8111,@ludo_lauamangud,"A dedicated board game retailer located in Tartu's largest shopping center, catering to both casual and hobbyist gamers.",,
Rahva Raamat (Tasku Keskus),book shop,Tartu,Estonia,https://rahvaraamat.ee,epood@rahvaraamat.ee,+372 618 0000,@rahva.raamat,A premium bookstore chain that carries a curated selection of high-quality board games and design-focused gifts.,,epood@rahvaraamat.ee
Apollo (Lõunakeskus),book shop,Tartu,Estonia,https://www.apollo.ee,info@apollo.ee,+372 633 6020,@apollo.raamatud,"One of Estonia's largest retail chains with a strong presence in Tartu, offering a broad reach for family-oriented card games.",,info@apollo.ee
Karupoeg Puhh (Eeden),toy store,Tartu,Estonia,https://www.karupoegpuhh.ee,eeden@karupoegpuhh.ee,+372 5831 5109,@karupoegpuhh,A popular toy store chain in Tartu that stocks a variety of accessible card games for families and children.,,info@karupoegpuhh.ee
Apollo (Astri Keskus),book shop,Narva,Estonia,https://www.apollo.ee,info@apollo.ee,+372 633 6020,@apollo.raamatud,Apollo is the largest bookstore chain in Estonia and carries a significant selection of board games and high-quality gift items that align with Omakase's design aesthetic.,,info@apollo.ee
Rahva Raamat (Astri Keskus),book shop,Narva,Estonia,https://rahvaraamat.ee,epood@rahvaraamat.ee,+372 618 0000,@rahva.raamat,"Voted one of the best bookstores in the world, they curate a high-end selection of board games and lifestyle products, making them a perfect fit for a design-focused card game.",,epood@rahvaraamat.ee
Juku Mänguasjakeskus (Fama Keskus),toy store,Narva,Estonia,https://jukukeskus.ee,info@jukukeskus.ee,+372 356 6454,@jukukeskus,"A leading toy retailer in the region with a dedicated section for family and party games, suitable for the accessible nature of a sushi-themed card game.",,
XS Mänguasjad (Fama Keskus),toy store,Narva,Estonia,https://www.xsmanguasjad.ee,info@xsmanguasjad.ee,+372 356 0015,@xsmanguasjad,A popular Baltic toy chain that stocks a variety of international board game titles and compact card games.,,
Charlot (Astri Keskus),gift shop,Narva,Estonia,https://www.charlot.ee,narva.astri@charlot.ee,+372 356 7077,,"While primarily an office and art supply store, Charlot carries a curated selection of gifts and small games, fitting Omakase's compact and artistic profile.",,
Lautapelit.fi,board game store,Helsinki,Finland,https://www.lautapelit.fi,info@lautapelit.fi,+358 9 622 5555,@lautapelit.fi,"The largest board game specialist in Finland with a flagship store in Kamppi, ideal for high-volume card game sales.",,info@lautapelit.fi
Fantasiapelit,board game store,Helsinki,Finland,https://www.fantasiapelit.com,helsinki@fantasiapelit.com,+358 9 622 000 88,@fantasiapelit,A long-standing hobby shop chain that specializes in niche and independent card games.,,postimyynti@fantasiapelit.com
Tokyokan,Japan stores,Helsinki,Finland,https://www.tokyokan.fi,info@tokyokan.fi,+358 9 622 00120,,A dedicated Japanese food and kitchenware shop where a sushi-themed card game would serve as a perfect thematic gift item.,,info@tokyokan.fi
Papershop,gift shop,Helsinki,Finland,https://papershop.fi,info@papershop.fi,+358 45 135 1335,@papershophelsinki,"A boutique stationery and gift shop that focuses on high-quality design and aesthetic products, matching Omakase's visual appeal.",,info@papershop.fi
Lokal,Concept design,Helsinki,Finland,https://lokalhelsinki.com,info@lokalhelsinki.com,+358 9 684 9818,@lokalhelsinki,A curated gallery and concept store focusing on Nordic design; Omakase's strong design qualities fit their artistic retail profile.,,info@lokalhelsinki.com
Poromagia,board game store,Helsinki,Finland,https://poromagia.com,info@poromagia.com,+358 50 355 5330,@poromagia,A major hub for card games and board games in the Pasila district with a very active community of tabletop players.,,
Nide,book shop,Helsinki,Finland,https://nidekauppa.fi,info@nidekauppa.fi,+358 44 231 7551,@nidekauppa,"An independent bookstore with a strong focus on art and design, often stocking high-end curated games and gifts.",,
Puolenkuun Pelit,board game store,Helsinki,Finland,https://www.puolenkuunpelit.com,helsinki@puolenkuunpelit.com,+358 9 694 0004,@puolenkuunpelit,A well-known hobby retailer that stocks a wide variety of card games and has a dedicated local customer base.,,
Fantasiapelit Espoo,board game store,Espoo,Finland,https://www.fantasiapelit.com,espoo@fantasiapelit.com,+358 40 511 7335,,The leading specialty hobby and board game retailer in Finland with a dedicated branch in the Sello shopping center.,,postimyynti@fantasiapelit.com
Puolenkuun Pelit Espoo,board game store,Espoo,Finland,https://www.puolenkuunpelit.com,espoo@puolenkuunpelit.com,+358 44 045 1230,@puolenkuunpelit,A major specialty game shop located in Iso Omena mall that focuses heavily on card games and tabletop gaming.,,
Lelu-Tapuli,toy store,Espoo,Finland,https://www.lelutapuli.fi,info@lelutapuli.fi,+358 9 455 1220,@lelutapuli,"An independent, high-quality toy store in Tapiola that curates unique games and gifts beyond mass-market brands.",,
XS Lelut (Iso Omena),toy store,Espoo,Finland,https://xslelut.fi,,+358 44 410 1502,@xslelut,A premium toy chain branch that carries a significant selection of family-friendly card games and trending items.,,
Suomalainen Kirjakauppa (Sello),book shop,Espoo,Finland,https://www.suomalainen.com,,+358 10 405 5200,@suomalainenkirjakauppa,The largest bookstore chain in Finland; they have a strong 'games and gifts' section that fits well-designed card games like Omakase.,,
Akateeminen Kirjakauppa (Tapiola),book shop,Espoo,Finland,https://www.akateeminen.com,,+358 9 121 441,@akateeminenkirjakauppa,"A high-end bookstore known for its focus on design, quality stationery, and curated gift items, making it a great fit for a visually strong card game.",,
Puolenkuun Pelit Tampere,board game store,Tampere,Finland,https://www.puolenkuunpelit.com,tampere@puolenkuunpelit.com,+358 3 225 5535,@puolenkuunpelit,A major hobby and board game retailer in the city center with a dedicated community and a wide selection of card games.,,
Fantasiapelit Tampere,board game store,Tampere,Finland,https://www.fantasiapelit.com,tampere@fantasiapelit.com,+358 10 583 1104,@fantasiapelit,"One of Finland's largest specialty game stores, focusing on tabletop, card, and roleplaying games with a high volume of niche titles.",,postimyynti@fantasiapelit.com
Lautapelit.fi Tampere,board game store,Tampere,Finland,https://www.lautapelit.fi,tampere@lautapelit.fi,+358 40 142 6600,@lautapelit.fi,"A dedicated board game specialist located in the Ratina shopping center, ideal for family-friendly and high-design card games.",,info@lautapelit.fi
Lelukauppa Pii Poo,toy store,Tampere,Finland,https://www.piipoo.com,,+358 44 244 4612,@piipoo_com,An independent toy store that focuses on quality play experiences and would be a good fit for a visually appealing sushi-themed game.,,piipoo@piipoo.fi
See How They Grow,gift shop,Tampere,Finland,https://seehowtheygrow.fi,,+358 44 241 1891,@seehowtheygrow_shop,"A boutique shop specializing in high-quality children's items and gifts, aligning well with Omakase's strong design qualities.",,
Akateeminen Kirjakauppa Tampere,book shop,Tampere,Finland,https://www.akateeminen.com,,+358 10 767 4400,@akateeminenkirjakauppa,A high-end bookstore that carries a curated selection of designer board games and premium gift items.,,
Puolenkuun Pelit Turku,board game store,Turku,Finland,https://www.puolenkuunpelit.com,turku@puolenkuunpelit.com,+358 2 251 0100,@puolenkuunpelit,A major Finnish hobby specialist with a dedicated Turku branch that focuses heavily on card games and tabletop gaming.,,
Fantasiapelit Turku,board game store,Turku,Finland,https://www.fantasiapelit.com,turku@fantasiapelit.com,+358 2 231 0055,@fantasiapelit,"One of the most established specialty game retailers in Finland, ideal for niche and high-quality card games.",,postimyynti@fantasiapelit.com
Lelukauppa Casagrande,toy store,Turku,Finland,https://www.casagrande.fi,info@casagrande.fi,+358 2 231 4143,@lelukauppacasagrande,"A historic, independent toy store known for a curated selection of high-quality games and a premium shopping experience.",,
KUI Design Local Shop,Concept design,Turku,Finland,https://kuidesign.fi,info@kuidesign.fi,+358 44 534 0747,@kuidesign,Focuses on modern Finnish design and lifestyle products; Omakase's strong visual aesthetic fits their curated gift selection.,,info@kuidesign.fi
Televisio Lifestyle Store,gift shop,Turku,Finland,https://televisioshop.fi,info@televisioshop.fi,+358 2 231 0555,@televisiolifestyle,"A boutique lifestyle shop that carries unique, design-led gifts and accessories, matching the 'Omakase' brand identity.",,
Pieni Kirjapuoti,book shop,Turku,Finland,https://www.pienikirjapuoti.fi,katri.tuominen@pienikirjapuoti.fi,+358 2 251 0112,@pienikirjapuoti,"An independent bookstore that prioritizes high-quality, giftable items and unique tabletop products alongside literature.",,katri.tuominen@pienikirjapuoti.fi
Fantasiapelit Oulu,board game store,Oulu,Finland,https://www.fantasiapelit.com/,oulu@fantasiapelit.com,+358 40 551 3113,@fantasiapelit,"The premier specialty hobby shop in Oulu, focusing on board games, manga, and tabletop gaming with a highly relevant customer base.",,postimyynti@fantasiapelit.com
Puolenkuun Pelit Oulu,board game store,Oulu,Finland,https://www.puolenkuunpelit.com/,oulu@puolenkuunpelit.com,+358 8 311 5885,@puolenkuunpelit,A major Finnish game retailer with a dedicated Oulu branch that stocks a wide variety of card games and independent titles.,,
Kure,Concept design,Oulu,Finland,https://kurestore.fi/,info@kurestore.fi,+358 40 128 1100,@kurestore,A design-focused concept store that highlights high-quality Finnish and Nordic products; Omakase's strong design aesthetic fits their curated selection.,,tilalle.info@kurestore.fi
Lelukauppa Partanen,toy store,Oulu,Finland,https://www.lelukauppapartanen.fi/,oulu@lelukauppapartanen.fi,+358 44 751 3110,@lelukauppapartanen,An established independent toy store in the city center that carries a diverse range of family-friendly board and card games.,,
Nonparelli,gift shop,Oulu,Finland,https://www.nonparelli.fi/,info@nonparelli.fi,+358 44 230 1327,@nonparelli_oulu,"A boutique gift and lifestyle shop that stocks unique items, making it a good fit for a stylishly packaged card game like Omakase.",,
Suomalainen Kirjakauppa Oulu,book shop,Oulu,Finland,https://www.suomalainen.com/,,,@suomalainenkirjakauppa,The largest bookstore chain in Finland with multiple Oulu locations; they have a significant section for designer board games and gifts.,,
Le Repaire du Dragon,board game store,Paris,France,https://www.lerepairedudragon.fr/,contact@lerepairedudragon.fr,+33 1 44 84 70 69,@lerepairedudragon,A major hub for board games in Paris with a dedicated community and a strong focus on card games and indie titles.,,
L'Œuf Cube,board game store,Paris,France,https://www.oeufcube.com/,,+33 1 43 54 99 30,@loeufcube,"Established in 1977, it is one of the oldest game shops in Paris and a destination for collectors and hobbyists in the Latin Quarter.",,
Junku,Japan stores,Paris,France,https://www.junku.fr/,,+33 1 42 60 89 12,@junku_paris,"A premier Japanese bookstore that stocks lifestyle items and games, making it a perfect fit for a sushi-themed card game.",,
Fleux,Concept design,Paris,France,https://www.fleux.com/,,+33 1 42 78 27 20,@fleux,A high-end concept store in Le Marais that prioritizes strong design and aesthetic appeal in its gift and game selection.,,commande@fleux.com
Troll2Jeux,board game store,Paris,France,https://troll2jeux.com/,,+33 1 43 40 90 46,@troll2jeux,"Located near Gare de Lyon, this shop has a very active community and frequently hosts events for new card game releases.",,contact@troll2jeux.com
Starplayer,board game store,Paris,France,https://www.starplayer.fr/,,+33 1 43 26 03 36,@starplayer_paris,A central Paris shop specializing in tabletop games and high-quality card games with a knowledgeable staff.,,
Maison de la Culture du Japon à Paris (Boutique),Japan stores,Paris,France,https://www.mcjp.fr/,,+33 1 44 37 95 01,@mcjp_officiel,The official cultural center's boutique is ideal for products that celebrate Japanese culinary culture and modern design.,,contact@mcjp.fr
Playin Paris,board game store,Paris,France,https://www.playin.fr/,,+33 9 71 24 98 87,@playin_paris,"A large, modern retail space with a massive inventory of card games and high foot traffic in the Rivoli district.",,
Majestik Games,board game store,Paris,France,https://www.majestikgames.com/,,+33 9 81 25 31 15,@majestikgames,"A boutique game shop that curates a selection of accessible, visually appealing card games for casual and serious players.",,contact@majestikgames.com
Boutique du Musée des Arts Décoratifs (107 Rivoli),Concept design,Paris,France,https://www.boutique.madparis.fr/,,+33 1 42 60 64 30,@107rivoli,Focuses on high-design objects and unique gifts; Omakase's strong design qualities would align with their curated game section.,,
La Crypte du Jeu,board game store,Marseille,France,https://www.lacryptedujeu.fr/,contact@lacryptedujeu.fr,+33 4 91 48 19 93,@lacryptedujeu,A cornerstone of the Marseille gaming scene with a massive inventory of card games and a dedicated community.,,
Le Pion de Marseille,board game store,Marseille,France,https://lepiondemarseille.fr/,contact@lepiondemarseille.fr,+33 4 91 47 04 71,@lepiondemarseille,"A specialized boutique focusing on modern board games and card games, ideal for independent titles like Omakase.",,
L'Antre du Dragon,board game store,Marseille,France,https://www.lantredudragon.fr/,contact@lantredudragon.fr,+33 4 91 42 16 02,@lantredudragon,Focuses on tabletop and card games with a knowledgeable staff that supports independent game designers.,,contact@lantredudragon.fr
Maison Empereur,gift shop,Marseille,France,https://www.empereur.fr/,contact@empereur.fr,+33 4 91 54 02 29,@maisonempereur,"France's oldest hardware store that curates high-quality, aesthetically pleasing gifts and traditional games, fitting Omakase's design qualities.",,
Japan Market,Japan stores,Marseille,France,https://www.japanmarket.fr/,contact@japanmarket.fr,+33 4 91 54 96 22,@japanmarket_marseille,A specialty Japanese grocery and gift shop where a sushi-themed card game would perfectly complement their curated product range.,,serviceclient@japanmarket.fr
L'Arbre à Soleils,toy store,Marseille,France,https://www.larbreasoleils.fr/,contact@larbreasoleils.fr,+33 4 91 54 04 04,@larbreasoleils,"An independent toy store that prioritizes high-quality, well-designed educational games and unique playthings.",,
Le Poisson Lune,toy store,Marseille,France,https://www.lepoissonlune.fr/,contact@lepoissonlune.fr,+33 4 91 94 51 05,@lepoissonlunemarseille,A boutique toy and gift shop known for its curated selection of beautiful objects and creative games for all ages.,,
Archi Chouette,board game store,Lyon,France,https://www.archi-chouette.fr/,contact@archi-chouette.fr,+33 4 78 39 20 10,@archichouette,A premier board game shop in the city center with a curated selection of modern card games and a focus on indie publishers.,,lyonsupport@archi-chouette.fr
Trollune,board game store,Lyon,France,https://www.trollune.fr/,trollune@trollune.fr,+33 4 78 69 85 56,@trollune_lyon,One of Lyon's largest and most established specialty game stores with a massive inventory and a dedicated card game section.,,trollune@trollune.fr
Konjaku,Japan stores,Lyon,France,https://www.konjaku.fr/,contact@konjaku.fr,+33 9 52 38 10 50,@konjaku_lyon,A boutique specializing in Japanese culture and products; a sushi-themed game would fit perfectly within their curated lifestyle and gift selection.,,
Ukronium 1828,board game store,Lyon,France,https://ukronium1828.fr/,contact@ukronium1828.fr,+33 4 78 69 85 58,@ukronium1828,"A unique concept store that blends games with immersive decor, making it a great fit for a game with strong design qualities.",,
L'Instant Poétique,gift shop,Lyon,France,https://www.linstantpoetique.com/,,+33 4 78 24 42 12,@linstantpoetique,"A high-end gift shop focusing on beautiful objects and design, ideal for Omakase's visual appeal and giftable nature.",,
Le Labo de Merlin,board game store,Lyon,France,https://www.lelabodemerlin.com/,contact@lelabodemerlin.com,+33 4 78 37 19 31,@lelabodemerlin,A community-focused shop that stocks a wide variety of card games and family-friendly titles in the heart of the city.,,
